gene_id		SH200_E7_Z11_ST23	SH201_E7-Q	SH202_E7-R	SH203_E7-S	SH204_E7-T	SH205_E7-V	SH206_E7-X	SH221	SH222	SH223	SH230
tr209976		0	0	0	0	0	0	0	0	3	0	1
tr209983		0	0	0	0	0	0	0	1	8	12	5
tr209985		0	0	0	0	0	0	0	5	17	12	5
tr20999		0	1	0	0	0	0	0	5	0	0	1
tr209993		0	2	0	0	0	1	0	52	63	50	40
tr209994		0	5	4	4	2	11	1	0	38	11	5
tr210005		0	0	0	0	0	0	0	11	16	32	13
tr210016		0	0	0	0	0	1	0	3	5	12	0
tr210020		0	1	0	2	0	6	0	15	21	9	26
tr210030		0	0	0	0	0	0	0	6	13	9	2
tr210036		21	6	2	14	16	9	0	6	23	17	2
tr210039		4	4	1	5	8	40	1	128	189	423	105
tr21004		0	1	0	3	1	2	1	6	22	14	11
tr210041		6	4	0	2	0	3	0	56	206	97	57
tr210046		17	1	3	3	1	6	0	83	224	118	83
tr210047		0	0	0	0	0	0	0	9	3	9	2
tr210049		0	0	0	0	0	0	0	0	1	4	2
tr210054		3	0	34	3	3	472	0	369	226	265	410
tr210059		0	0	0	0	0	0	0	2	11	9	2
tr210060		0	0	0	0	0	0	0	0	3	0	0
tr210062		0	0	0	4	0	1	0	49	68	92	45
tr210063		0	0	0	0	0	0	0	16	36	26	9
tr210065		0	0	0	0	0	0	0	1	7	4	0
tr210066		0	0	0	0	0	0	0	0	6	0	0
tr210070		0	0	0	0	0	0	0	0	2	3	0
tr210071		0	0	0	0	0	0	0	61	75	105	68
tr210078		0	0	0	0	0	0	0	10	6	5	0
tr210080		374	158	17	146	81	288	37	2306	6166	2859	2283
tr210084		0	0	0	0	0	0	0	64	70	111	17
tr210086		0	0	0	0	0	0	0	0	0	0	4
tr210090		1	0	0	0	0	1	1	3	1	0	0
tr210091		0	0	0	0	0	0	0	2	5	10	1
tr210093		8	13	4	10	6	29	3	95	239	149	119
tr210098		8	6	0	7	0	8	3	193	236	105	66
tr210100		0	0	0	0	0	0	0	60	64	120	42
tr210106		0	0	0	0	0	0	0	28	26	43	19
tr210111		0	0	0	0	0	0	0	47	88	110	44
tr210112		0	0	0	0	0	0	0	4	11	25	7
tr210119		0	0	0	0	0	0	0	3	5	10	2
tr210122		5	2	3	3	0	44	0	342	89	163	36
tr210124		2	0	0	0	5	1	1	2	20	1	15
tr210127		3	0	0	0	0	0	0	45	26	60	1
tr210128		0	0	0	0	0	0	0	16	16	34	2
tr210129		76	15	0	3	8	21	8	104	123	199	46
tr210134		0	0	0	0	0	0	0	4	1	0	6
tr210144		0	0	0	0	0	0	0	1	2	8	2
tr210153		2	0	0	0	0	1	0	54	2	43	1
tr210160		3	4	0	6	3	4	0	194	217	207	102
tr210166		20	12	2	11	18	27	2	284	494	291	211
tr21017		2	1	0	0	0	0	0	39	66	36	4
tr210185		0	0	0	0	0	0	0	7	19	8	5
tr210187		3738	523	98	240	260	777	108	333	97	402	26
tr210194		0	0	0	0	2	1	0	12	13	9	11
tr210196		0	0	0	0	0	0	0	40	82	89	38
tr210199		0	0	0	0	0	0	0	53	84	103	24
tr210203		0	0	0	0	0	0	0	30	54	82	28
tr210208		0	0	0	0	0	0	0	9	8	9	0
tr210215		0	0	0	0	0	0	0	49	80	93	19
tr210221		0	0	0	2	0	0	1	43	54	69	10
tr210224		0	0	0	0	0	0	0	1	1	6	2
tr210225		0	0	0	1	0	0	0	36	56	97	34
tr21023		0	0	0	1	0	0	0	11	47	39	19
tr210230		0	0	0	0	0	0	0	2	8	5	1
tr210232		0	0	0	0	0	0	0	5	4	6	1
tr21024		4	0	0	0	0	1	0	6	24	15	0
tr210245		0	0	0	0	0	0	0	10	21	22	9
tr210249		0	0	0	0	0	0	0	0	1	0	3
tr21025		0	0	0	0	0	0	0	73	293	94	73
tr210255		0	0	0	0	0	0	0	20	40	43	10
tr210259		0	0	0	0	0	0	0	1	0	4	4
